business_id,name,city,state,stars,review_count,categories,is_open,latitude,longitude
e4wnvOb69FG9CEUp8P-itA,CVS Pharmacy,Metairie,LA,2.5,6,"Shopping, Food, Pharmacy, Convenience Stores, Health & Medical, Drugstores",1,30.0163043033,-90.1989201245
hhyP1eWebvtaHAzlhLrJQg,Sunoco Gas Station,Blue Bell,PA,2.0,7,"Gas Stations, Automotive",1,40.15332,-75.268266
8NFGhcRIW7KXD69NlrLasw,Taco Bell,Indianapolis,IN,1.0,14,"Mexican, Restaurants, Fast Food, Breakfast & Brunch, Tacos, Tex-Mex",1,39.825159,-86.117572
vwp_SG9FbE7rQkdsBm86fg,Arizona Hatters,Tucson,AZ,4.5,18,"Shopping, Hats, Fashion",1,32.2569276,-110.9435384
ERR_CAT_2,Lucky Bamboo,Nashville,TN,2.5,37,Unknown,0,36.1491276,-86.8626214
-Zznow_csEl3noB4yHIOvw,Pathway to Serenity,Reno,NV,5.0,7,"Health & Medical, Massage, Reflexology, Massage Therapy, Beauty & Spas",1,39.4749110678,-119.7989245451
60e4BylZEVMBl8ZiLn9uuA,Winn Dixie,Apollo Beach,FL,4.0,9,"Food, Grocery",1,27.7517428963,-82.4120338792
OM8DzcFc-ASZOb573eT8Vg,Autozone,Tampa,FL,4.0,8,"Auto Parts & Supplies, Automotive",1,28.024374,-82.5837059
mLh1NbiTmvIx-4oDqRW03w,Murphys Craft House,Indianapolis,IN,3.0,132,"Cocktail Bars, Bars, Pubs, American (Traditional), Restaurants, Steakhouses, Nightlife",1,39.9013197708,-85.9576593133
bJfcuUMgJUkHWpCUeAI4Iw,At The Table BYOB,Wayne,PA,4.5,111,"Restaurants, French, American (Traditional), American (New)",1,40.0443338902,-75.3843889385
GkuKfHyDtTeBlB0BAC_u1g,Southerner's Coffee,Franklin,TN,4.5,13,"Food, Coffee & Tea, Cafes, Restaurants, Juice Bars & Smoothies",1,35.9283666597,-86.873760107
ERR_CAT_0,Lube City,Sherwood Park,AB,4.5,7,Unknown,1,53.5425266683,-113.3128964279
07dYT3u_WHJksIomke0OoA,Warby Parker,Indianapolis,IN,4.5,7,"Optometrists, Shopping, Sunglasses, Eyewear & Opticians, Health & Medical",1,39.9143499794,-86.1112038021
m3GT2DUYizZhjyuCsRIjbQ,Sparks Cycle Supply,Tucson,AZ,3.0,8,"Motorcycle Dealers, Automotive",0,32.2507487,-110.9199936
Z1ErUpUq3GpeT4gWUjVjaw,Center for SmartLipo & Plastic Surgery,Langhorne,PA,3.5,5,"Health & Medical, Laser Hair Removal, Medical Spas, Cosmetic Surgeons, Plastic Surgeons, Skin Care, Hair Removal, Doctors, Beauty & Spas, Tattoo Removal",1,40.1883668,-74.8775099
jqGHqV4_wP_-47766iIO9w,Doctor Smiles Orthodontics,Tucson,AZ,5.0,6,"Health & Medical, General Dentistry, Orthodontists, Dentists",1,32.2313357,-110.8585599
OHib-PLxT57BPZf3PCb_6A,Tao Spa,New Orleans,LA,3.5,60,"Health & Medical, Massage, Nail Salons, Reflexology, Beauty & Spas",1,29.9546341,-90.0704613
